supplier_id,material_type,material_mass_kg,annual_spend_usd,employee_count,transport_distance_km,transport_mode,electricity_kwh
S0035,virgin_aluminium,2850000.0,9120000.0,61,6400.0,air_freight,
S0008,virgin_aluminium,63717.98226303231,699187.9,5,2025.0,sea_freight,1632453.6981185754
S0029,virgin_aluminium,24563.76394146838,157814.78,5,7572.7,sea_freight,962388.3599483604
S0022,virgin_aluminium,19307.49904305095,142408.07,5,835.3,sea_freight,887320.0231858903
S0030,virgin_aluminium,31868.000534508737,211326.95,5,9493.0,road_hgv,609578.5957119693
S0025,virgin_aluminium,37340.29200191955,317983.96,5,10428.6,road_hgv,830837.2883858004
S0001,copper,13666.418152723887,157710.79,5,10247.4,air_freight,836071.4030945401
S0006,cardboard,56520.36523468869,215242.3,5,5642.9,sea_freight,925024.3249341345
S0086,virgin_aluminium,22746.452873738377,84219.62,5,7814.0,road_hgv,661705.1597258784
S0007,copper,12988.871227116086,127561.58,5,2743.5,air_freight,663886.0325585688
S0013,copper,28565.730795631407,265843.84,5,3454.7,rail_freight,
S0043,virgin_aluminium,14956.604481827191,124956.16,5,2338.3,road_hgv,474871.3461109919
S0163,virgin_aluminium,13347.903402726508,60315.09,5,1043.7,sea_freight,472846.07213882543
S0015,virgin_aluminium,8351.467695586827,78112.46,5,1673.4,sea_freight,678020.0934798855
S0032,virgin_aluminium,7414.88799001554,92189.58,5,8970.6,sea_freight,1002223.1615136678
S0021,cardboard,41017.17371274254,454437.74,5,1631.0,road_hgv,657019.9715154936
S0033,cardboard,17460.820308107563,218983.96,5,372.2,road_hgv,647860.9427472457
S0020,cardboard,42559.32467139526,217199.07,5,3383.5,road_hgv,991322.4807525447
S0060,glass,22284.832965709673,127058.3,5,4118.9,sea_freight,545138.5670411448
S0028,virgin_aluminium,8588.400061579563,81182.9,5,6344.9,road_hgv,
S0178,virgin_aluminium,11375.789885786966,147643.13,5,10295.0,road_hgv,
S0145,virgin_aluminium,12427.451026269013,51343.8,5,3335.5,sea_freight,346821.19913451036
S0075,glass,13347.903402726508,67075.72,5,4649.6,road_hgv,603805.1114406463
S0004,virgin_plastic_pet,26515.32009135855,221026.08,5,9223.2,air_freight,243823.9619735751
S0005,glass,11100.430673881125,83803.83,5,2737.3,rail_freight,609543.9518197989
S0049,virgin_aluminium,10227.56387345074,104216.01,5,10271.3,rail_freight,326137.4017890016
S0078,virgin_aluminium,14184.43393694372,159064.53,5,911.9,air_freight,470191.13547132106
S0011,virgin_plastic_pet,19157.176407484127,203732.71,5,9797.6,road_hgv,752482.2616807884
S0042,virgin_aluminium,15185.572734677315,152522.2,5,1727.8,sea_freight,
S0068,copper,4664.232637678438,34177.73,5,10922.2,road_hgv,463374.60125685146
S0023,cardboard,33027.67495948747,259764.04,5,7108.6,sea_freight,
S0009,copper,43067.484865601116,237720.28,5,522.4,sea_freight,444885.9623719826
S0057,virgin_steel,6655.410250453108,35679.6,5,7401.5,road_hgv,533809.9147500207
S0017,virgin_plastic_pet,19733.579096180743,92500.05,5,2835.8,rail_freight,692139.1221376454
S0018,cardboard,12606.04626349211,118418.48,5,2454.5,sea_freight,466816.69095708884
S0044,glass,22230.776547754187,219400.06,5,3656.5,road_hgv,417268.4090216864
S0171,virgin_aluminium,14299.814026097325,68255.47,5,8920.7,sea_freight,
S0107,glass,7163.520668951817,40085.61,5,10379.6,sea_freight,
S0019,cardboard,40601.49678240528,180480.69,5,4962.8,sea_freight,417881.74528508185
S0082,cardboard,12801.615016850397,63932.24,5,2527.5,rail_freight,449286.0851075691
S0014,copper,11862.347423093479,114522.89,5,4852.2,rail_freight,445574.80838311143
S0056,virgin_aluminium,9899.741066217934,98840.58,5,3329.9,road_hgv,
S0085,virgin_plastic_pet,6525.1970005713865,25680.55,5,759.0,rail_freight,381417.1075231926
S0062,virgin_steel,18913.82297527016,232208.29,5,4056.2,rail_freight,398578.0789714808
S0037,glass,5470.399990539438,30064.21,5,8334.0,sea_freight,465944.67034367984
S0141,virgin_aluminium,5722.4641715031385,28412.56,5,10923.2,road_hgv,301233.96842200076
S0027,virgin_steel,28157.769099901056,112777.3,5,10172.4,road_hgv,474446.4108991263
S0054,copper,19459.464276953433,181127.02,5,3366.5,air_freight,211165.2743311263
S0026,virgin_plastic_pet,37897.68037048817,316888.92,5,5924.2,road_hgv,310112.7599590429
S0177,virgin_plastic_pet,11410.782207907323,140093.75,5,9001.2,road_hgv,302501.2579258191
S0065,glass,12652.934979619244,51166.75,5,6412.0,sea_freight,420089.44722392136
S0098,cardboard,10932.288335157706,78759.68,5,3035.5,air_freight,
S0077,copper,23218.87411021675,269690.89,5,10153.8,rail_freight,271028.5760574268
S0084,glass,16671.626471381755,86771.55,5,5457.7,rail_freight,345726.1335774011
