parent_id,child_id,allocation_share
FOCAL,S0001,1.0
FOCAL,S0002,1.0
FOCAL,S0003,1.0
FOCAL,S0004,1.0
FOCAL,S0005,1.0
FOCAL,S0006,1.0
FOCAL,S0007,1.0
FOCAL,S0008,1.0
S0003,S0009,1.0
S0006,S0010,0.3333
S0005,S0010,0.3333
S0007,S0010,0.3333
S0003,S0011,0.5
S0008,S0011,0.5
S0005,S0012,0.5
S0006,S0012,0.5
S0002,S0013,0.5
S0004,S0013,0.5
S0003,S0014,1.0
S0007,S0015,1.0
S0006,S0016,0.3333
S0001,S0016,0.3333
S0004,S0016,0.3333
S0005,S0017,1.0
S0002,S0018,0.3333
S0004,S0018,0.3333
S0003,S0018,0.3333
S0005,S0019,0.3333
S0008,S0019,0.3333
S0004,S0019,0.3333
S0006,S0020,0.3333
S0001,S0020,0.3333
S0008,S0020,0.3333
S0008,S0021,1.0
S0006,S0022,1.0
S0004,S0023,0.3333
S0006,S0023,0.3333
S0001,S0023,0.3333
S0008,S0024,0.3333
S0006,S0024,0.3333
S0003,S0024,0.3333
S0007,S0025,0.3333
S0001,S0025,0.3333
S0002,S0025,0.3333
S0001,S0026,1.0
S0008,S0027,0.5
S0001,S0027,0.5
S0004,S0028,1.0
S0003,S0029,0.3333
S0004,S0029,0.3333
S0007,S0029,0.3333
S0007,S0030,0.5
S0005,S0030,0.5
S0003,S0031,0.3333
S0004,S0031,0.3333
S0006,S0031,0.3333
S0008,S0032,1.0
S0007,S0033,0.3333
S0003,S0033,0.3333
S0001,S0033,0.3333
S0006,S0034,0.3333
S0002,S0034,0.3333
S0004,S0034,0.3333
S0016,S0035,0.5
S0020,S0035,0.5
S0030,S0036,1.0
S0026,S0037,0.5
S0029,S0037,0.5
S0010,S0038,0.5
S0021,S0038,0.5
S0015,S0039,0.5
S0012,S0039,0.5
S0011,S0040,0.5
S0030,S0040,0.5
S0029,S0041,1.0
S0028,S0042,0.3333
S0009,S0042,0.3333
S0010,S0042,0.3333
S0016,S0043,0.5
S0013,S0043,0.5
S0015,S0044,0.3333
S0011,S0044,0.3333
S0033,S0044,0.3333
S0015,S0045,0.3333
S0027,S0045,0.3333
S0016,S0045,0.3333
S0033,S0046,0.5
S0013,S0046,0.5
S0009,S0047,0.3333
S0017,S0047,0.3333
S0013,S0047,0.3333
S0026,S0048,1.0
S0034,S0049,0.5
S0014,S0049,0.5
S0030,S0050,1.0
S0013,S0051,1.0
S0020,S0052,1.0
S0027,S0053,1.0
S0009,S0054,0.5
S0014,S0054,0.5
S0010,S0055,0.5
S0013,S0055,0.5
S0022,S0056,0.3333
S0025,S0056,0.3333
S0012,S0056,0.3333
S0011,S0057,0.3333
