supplier_id,name,tier,country,reports_data
S0035,Ferrovale Smelting Works,3,IN,no
S0008,Granite Foundry,1,US,yes
S0029,Northwind Supplies,2,IN,yes
S0022,Northwind Logistics,2,IN,yes
S0030,Granite Works,2,AU,yes
S0025,Crescent Plastics,2,DE,yes
S0001,Sunrise Metals,1,AU,yes
S0006,Zenith Materials,1,CN,yes
S0086,Orion Extrusion,3,DE,yes
S0007,Ashgrove Works,1,IN,yes
S0013,Pinnacle Polymers,2,CN,yes
S0043,Ironwood Supplies,3,IN,yes
S0163,Ironwood Components,4,IN,yes
S0015,Kalpana Supplies,2,CN,yes
S0032,Crescent Casting,2,DE,yes
S0021,Zenith Logistics,2,AU,yes
S0033,Vertex Extrusion,2,AU,yes
S0020,Crescent Materials,2,DE,yes
S0060,Zenith Supplies,3,IN,yes
S0028,Orion Casting,2,US,no
S0178,Granite Industries,4,VN,no
S0145,Pinnacle Components,4,VN,yes
S0075,Kalpana Casting,3,CN,yes
S0004,Vertex Components,1,CN,yes
S0005,Vertex Casting,1,CN,yes
S0049,Blue Harbour Logistics,3,IN,yes
S0078,Zenith Foundry,3,DE,yes
S0011,Northwind Foundry,2,US,yes
S0042,Blue Harbour Polymers,3,IN,no
S0068,Lotus Plastics,3,IN,yes
S0023,Kalpana Logistics,2,VN,yes
S0009,Orion Logistics,2,DE,yes
S0057,Sunrise Logistics,3,CN,yes
S0017,Pinnacle Plastics,2,DE,yes
S0018,Ashgrove Foundry,2,AU,yes
S0044,Orion Plastics,3,AU,yes
S0171,Granite Assembly,4,VN,yes
S0107,Granite Polymers,3,VN,yes
S0019,Granite Casting,2,AU,yes
S0082,Meridian Extrusion,3,AU,yes
S0014,Northwind Extrusion,2,CN,yes
S0056,Silverline Foundry,3,DE,yes
S0085,Ashgrove Metals,3,IN,yes
S0062,Silverline Metals,3,CN,yes
S0037,Ashgrove Casting,3,CN,yes
S0141,Meridian Assembly,4,AU,yes
S0027,Everest Polymers,2,US,yes
S0054,Meridian Components,3,IN,yes
S0026,Zenith Casting,2,DE,yes
S0177,Crescent Works,4,IN,yes
S0065,Meridian Industries,3,CN,yes
S0098,Zenith Fabrication,3,IN,no
S0077,Pinnacle Industries,3,CN,yes
S0084,Northwind Components,3,AU,yes
S0067,Northwind Polymers,3,US,yes
S0048,Pinnacle Assembly,3,VN,yes
S0191,Silverline Extrusion,4,IN,yes
S0012,Zenith Industries,2,AU,yes
S0106,Everest Extrusion,3,US,yes
S0160,Tata Components,4,CN,yes
S0064,Zenith Extrusion,3,AU,yes
S0066,Zenith Metals,3,AU,yes
S0031,Kalpana Materials,2,US,yes
S0090,Sunrise Fabrication,3,VN,yes
S0167,Ironwood Industries,4,IN,yes
S0161,Tata Metals,4,AU,yes
S0010,Silverline Components,2,DE,yes
S0114,Ironwood Polymers,4,IN,yes
S0116,Vertex Works,4,IN,yes
S0180,Sunrise Extrusion,4,CN,yes
S0055,Pinnacle Materials,3,US,yes
S0002,Blue Harbour Plastics,1,AU,yes
S0113,Meridian Plastics,4,IN,no
S0059,Kalpana Assembly,3,VN,no
S0073,Tata Assembly,3,DE,yes
S0039,Lotus Polymers,3,CN,yes
S0050,Blue Harbour Metals,3,IN,yes
S0100,Sunrise Polymers,3,US,yes
S0045,Zenith Plastics,3,DE,yes
S0104,Delta Polymers,3,DE,yes
S0192,Delta Extrusion,4,AU,yes
S0076,Orion Fabrication,3,IN,yes
S0131,Ironwood Metals,4,US,yes
S0148,Lotus Extrusion,4,DE,yes
S0092,Delta Works,3,US,yes
S0103,Meridian Fabrication,3,US,no
S0165,Northwind Plastics,4,CN,yes
S0040,Lotus Metals,3,VN,yes
S0046,Everest Logistics,3,VN,yes
S0139,Meridian Supplies,4,IN,yes
S0063,Crescent Industries,3,US,yes
